id,hiragana,onyomi,score,taux
1,あ,a,9,2.174
2,い,i,9,2.174
3,う,u,9,2.174
4,え,e,9,2.174
5,お,o,9,2.174
6,か,ka,9,2.174
7,き,ki,9,2.174
8,く,ku,9,2.174
9,け,ke,9,2.174
10,こ,ko,9,2.174
11,さ,sa,9,2.174
12,し,shi,9,2.174
13,す,su,9,2.174
14,せ,se,9,2.174
15,そ,so,9,2.174
16,た,ta,9,2.174
17,ち,chi,9,2.174
18,つ,tsu,9,2.174
19,て,te,9,2.174
20,と,to,9,2.174
21,な,na,9,2.174
22,に,ni,9,2.174
23,ぬ,nu,9,2.174
24,ね,ne,9,2.174
25,の,no,9,2.174
26,は,ha,9,2.174
27,ひ,hi,9,2.174
28,ふ,fu,9,2.174
29,へ,he,9,2.174
30,ほ,ho,9,2.174
31,ま,ma,9,2.174
32,み,mi,9,2.174
33,む,mu,9,2.174
34,め,me,9,2.174
35,も,mo,9,2.174
36,や,ya,9,2.174
37,ゆ,yu,9,2.174
38,よ,yo,9,2.174
39,ら,ra,9,2.174
40,り,ri,9,2.174
41,る,ru,9,2.174
42,れ,re,9,2.174
43,ろ,ro,9,2.174
44,わ,wa,9,2.174
45,を,wo,9,2.174
46,ん,n,9,2.174
